native_code,native_name,nuts_code,notes
metropolitan,Metropolitan Police,UKI,Greater London (Met covers London ex-Square Mile)
city-of-london,City of London,UKI,The Square Mile (ONS publishes as "City of London")
avon-and-somerset,Avon and Somerset,UKK,
bedfordshire,Bedfordshire,UKH,
cambridgeshire,Cambridgeshire,UKH,
cheshire,Cheshire,UKD,
cleveland,Cleveland,UKC,
cumbria,Cumbria,UKD,
derbyshire,Derbyshire,UKF,
devon-and-cornwall,Devon and Cornwall,UKK,
dorset,Dorset,UKK,
durham,Durham,UKC,
dyfed-powys,Dyfed-Powys,UKL,
essex,Essex,UKH,
gloucestershire,Gloucestershire,UKK,
greater-manchester,Greater Manchester,UKD,
gwent,Gwent,UKL,
hampshire,Hampshire,UKJ,
hertfordshire,Hertfordshire,UKH,
humberside,Humberside,UKE,Spans Yorkshire and N Lincolnshire; ONS groups under Yorkshire/Humber
kent,Kent,UKJ,
lancashire,Lancashire,UKD,
leicestershire,Leicestershire,UKF,
lincolnshire,Lincolnshire,UKF,
merseyside,Merseyside,UKD,
norfolk,Norfolk,UKH,
north-wales,North Wales,UKL,
north-yorkshire,North Yorkshire,UKE,
northamptonshire,Northamptonshire,UKF,
northumbria,Northumbria,UKC,
nottinghamshire,Nottinghamshire,UKF,
south-wales,South Wales,UKL,
south-yorkshire,South Yorkshire,UKE,
staffordshire,Staffordshire,UKG,
suffolk,Suffolk,UKH,
surrey,Surrey,UKJ,
sussex,Sussex,UKJ,
thames-valley,Thames Valley,UKJ,
warwickshire,Warwickshire,UKG,
west-mercia,West Mercia,UKG,
west-midlands,West Midlands,UKG,
west-yorkshire,West Yorkshire,UKE,
wiltshire,Wiltshire,UKK,
police-scotland,Police Scotland,UKM,Single national force
psni,Police Service of Northern Ireland,UKN,
